timestamp_utc,kind,relative_path,outcome
2026-08-29T06:35:00.745329+00:00,audio,Burak Yiğit Ova/Unknown Album/99 Weeping Willows - Last Night I Dreamt That Somebody Loved Me.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Burak Yiğit Ova/Unknown Album/99 Weeping Willows - Last Night I Dreamt That Somebody Loved Me.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,Butaotome/Trauma Recorder/74 トラウマレコーダー - Trauma Recorder.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Butaotome/Trauma Recorder/74 トラウマレコーダー - Trauma Recorder.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,CAT ATE HOTDOGS/Cankeri/01 CANKERI.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,CAT ATE HOTDOGS/Cankeri/01 CANKERI.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,COIL/ROPELAND MUSIC/15 天才ヴァガボンド.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,COIL/ROPELAND MUSIC/15 天才ヴァガボンド.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,CRUX labe/Unknown Album/101 WHITE ASH _ Crowds【Music Video Short Ver】.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,CRUX labe/Unknown Album/101 WHITE ASH _ Crowds【Music Video Short Ver】.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,Cafuné/Acoustic Vibes/103 Tek It.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Cafuné/Acoustic Vibes/103 Tek It.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,Cafuné/Running/102 Want Me Out.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Cafuné/Running/102 Want Me Out.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,Chilli Beans./d a n c i n g a l o n e/112 Chilli Beans. - lemonade (Official Music Video).m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Chilli Beans./d a n c i n g a l o n e/112 Chilli Beans. - lemonade (Official Music Video).lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,Christone _Kingfish_ Ingram/Live in London/118 662.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Christone _Kingfish_ Ingram/Live in London/118 662.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,Cinema Staff/Best Of The Super Cinema 2008-2011_2012-2019/16 Great Escape.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Cinema Staff/Best Of The Super Cinema 2008-2011_2012-2019/16 Great Escape.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,CodyLee/Dancing Lights/01 おどる ひかり - Dancing Lights.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,CodyLee/Dancing Lights/01 おどる ひかり - Dancing Lights.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,Coil/Unknown Album/126 COIL／天才ヴァガボンド.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Coil/Unknown Album/126 COIL／天才ヴァガボンド.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,Coletta/Mind & Time/127 Coletta - Blossom.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Coletta/Mind & Time/127 Coletta - Blossom.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,Covet/Combinisions IV/131 Nero.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Covet/Combinisions IV/131 Nero.lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,CreepHyp/Unknown Album/134 クリープ - Creap.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,CreepHyp/Unknown Album/134 クリープ - Creap.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,CrushingDreams/Unknown Album/135 石橋英子(Eiko Ishibashi) - Drifting Devil (2009) [Full Album].m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,CrushingDreams/Unknown Album/135 石橋英子(Eiko Ishibashi) - Drifting Devil (2009) [Full Album].lrc,not_present
2026-08-29T06:35:00.745329+00:00,audio,Cö shu Nie/Aurora/134 Defection.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Cö shu Nie/Aurora/134 Defection.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,Cö shu Nie/Aurora/136 Defection.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Cö shu Nie/Aurora/136 Defection.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,Cö shu Nie/Flos Ex Machina/08 夏の深雪 - Deep Summer Snow.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Cö shu Nie/Flos Ex Machina/08 夏の深雪 - Deep Summer Snow.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,Cö shu Nie/I am the light/01 I am the light.m4a,deleted
2026-08-29T06:35:00.745329+00:00,sidecar,Cö shu Nie/I am the light/01 I am the light.lrc,deleted
2026-08-29T06:35:00.745329+00:00,audio,"Cö shu Nie/SAKURA BURST/03 o=私とペットと電話線 - o=Me, pet, and wire.m4a",deleted
2026-08-29T06:35:00.745329+00:00,sidecar,"Cö shu Nie/SAKURA BURST/03 o=私とペットと電話線 - o=Me, pet, and wire.lrc",not_present
2026-08-29T06:35:00.745329+00:00,audio,Cö shu Nie/Unknown Album/138 Cö shu Nie – asphyxia (Official Video) _ “東京喰種トーキョーグール_re” OP.m4a,deleted
